Order ID,SKU,Quantity,Order Date,Price,Customer ID
ORD-1001,PROD-A101,2,2024-01-10 10:15:00,24.99,CUST-901
ORD-1001,PROD-B202,1,2024-01-10 10:15:00,49.50,CUST-901
ORD-1002,PROD-C303,5,2024-01-14 11:30:00,12.00,CUST-902
ORD-1003,PROD-A101,1,2024-01-22 14:20:00,24.99,CUST-903
ORD-1004,PROD-D404,3,2024-02-01 09:00:00,15.75,CUST-901
ORD-1005,PROD-E505,1,2024-02-12 16:45:00,89.99,CUST-904
ORD-1006,PROD-B202,2,2024-02-28 13:10:00,49.50,CUST-902
ORD-1007,PROD-C303,10,2024-03-05 10:05:00,12.00,CUST-905
ORD-1008,PROD-F606,4,2024-03-18 15:25:00,18.50,CUST-903
ORD-1009,PROD-A101,2,2024-04-02 11:40:00,24.99,CUST-901
ORD-1010,PROD-D404,1,2024-04-15 14:50:00,15.75,CUST-904
ORD-1011,PROD-E505,2,2024-05-01 12:00:00,89.99,CUST-905
ORD-1012,PROD-B202,1,2024-05-20 16:30:00,49.50,CUST-902
ORD-1013,PROD-A101,3,2024-06-11 09:15:00,24.99,CUST-901
ORD-1014,PROD-C303,6,2024-07-04 10:45:00,12.00,CUST-903
ORD-1015,PROD-F606,2,2024-08-01 15:10:00,18.50,CUST-905
