InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID
536365,85123A,6,2024-01-15 08:26:00,2.55,10001
536365,71053,6,2024-01-15 08:26:00,3.39,10001
536365,84406B,8,2024-01-15 08:26:00,2.75,10001
536366,22633,6,2024-01-16 08:28:00,1.85,10002
536366,22632,6,2024-01-16 08:28:00,1.85,10002
536367,84879,32,2024-01-20 08:34:00,1.69,10003
536367,22745,6,2024-01-20 08:34:00,2.10,10003
536368,22960,6,2024-02-01 09:15:00,4.25,10001
536368,22913,12,2024-02-01 09:15:00,4.95,10001
536369,21754,4,2024-02-05 11:20:00,5.95,10004
536370,22659,8,2024-02-10 12:45:00,1.95,10005
536370,22630,10,2024-02-10 12:45:00,1.95,10005
536371,84997D,100,2024-03-01 14:00:00,0.85,10002
536371,84997C,120,2024-03-01 14:00:00,0.75,10002
536372,21080,24,2024-03-12 15:30:00,1.25,10003
536373,21094,12,2024-03-15 16:10:00,1.25,10006
536374,22865,12,2024-04-02 09:40:00,2.10,10004
536375,22866,12,2024-04-10 10:15:00,2.10,10001
536375,22867,12,2024-04-10 10:15:00,2.10,10001
536376,22632,24,2024-05-01 11:50:00,1.65,10005
536377,22633,24,2024-05-15 13:20:00,1.65,10002
536378,84970S,12,2024-06-01 14:10:00,0.64,10003
536379,84970L,12,2024-06-10 15:45:00,1.25,10006
536380,84949,8,2024-07-04 10:30:00,2.25,10001
536381,84946,6,2024-07-20 11:00:00,1.25,10004
536382,82486,10,2024-08-05 14:15:00,6.95,10005
536383,82482,10,2024-08-25 16:00:00,6.95,10002
