CustomerID,Recency,Frequency,Monetary,Cluster,Segment,Churned,FirstPurchase,LastPurchase,AvgOrderValue,TotalItems,UniqueProducts,CustomerTenureDays
12346,326,12,29730.420199999626,2,Champions,1,2009-12-14 08:34:00,2011-01-18 10:01:00,2281.0723529411766,74285,27,400
12347,2,8,5633.32,3,Loyal Customers,0,2010-10-31 14:20:00,2011-12-07 15:52:00,22.26608695652174,3286,126,402
12348,75,5,2019.4,0,Potential Loyalists,0,2010-09-27 14:59:00,2011-09-25 13:13:00,39.59607843137255,2714,25,362
12349,19,4,4428.69,0,Potential Loyalists,0,2010-04-29 13:20:00,2011-11-21 09:51:00,25.306800000000003,1624,138,570
12350,310,1,334.4,1,At Risk,1,2011-02-02 16:01:00,2011-02-02 16:01:00,19.67058823529412,197,17,0
12351,375,1,300.93,1,At Risk,1,2010-11-29 15:23:00,2010-11-29 15:23:00,14.33,261,21,0
12352,36,10,2849.84,0,Potential Loyalists,0,2010-11-12 10:20:00,2011-11-03 14:37:00,27.668349514563108,724,70,356
12353,204,2,406.76,0,Potential Loyalists,1,2010-10-27 12:44:00,2011-05-19 17:47:00,16.948333333333334,212,23,204
12354,232,1,1079.4,0,Potential Loyalists,1,2011-04-21 13:11:00,2011-04-21 13:11:00,18.610344827586207,530,58,0
12355,214,2,947.61,0,Potential Loyalists,1,2010-05-21 11:59:00,2011-05-09 13:49:00,27.074571428571428,543,35,353
12356,23,6,6373.68,3,Loyal Customers,0,2010-10-11 09:42:00,2011-11-17 08:40:00,44.57118881118881,3417,104,401
12357,33,3,18287.66,3,Loyal Customers,0,2010-11-16 10:05:00,2011-11-06 16:07:00,61.78263513513514,6587,261,355
12358,2,5,3887.07,0,Potential Loyalists,0,2009-12-08 07:59:00,2011-12-08 10:26:00,50.48142857142857,1079,56,730
12359,58,10,8935.94,3,Loyal Customers,0,2009-12-05 13:32:00,2011-10-13 12:47:00,24.482027397260275,2752,305,676
12360,52,8,4252.89,0,Potential Loyalists,0,2010-02-22 09:32:00,2011-10-18 15:22:00,19.59857142857143,2459,160,603
12361,287,4,511.25,1,At Risk,1,2010-01-26 14:37:00,2011-02-25 13:51:00,17.629310344827587,235,18,394
12362,3,11,5356.23,3,Loyal Customers,0,2009-12-01 10:10:00,2011-12-06 15:40:00,20.060786516853934,2230,201,735
12363,110,2,552.0,0,Potential Loyalists,0,2011-04-11 13:29:00,2011-08-22 10:18:00,24.0,408,23,132
12364,8,4,1313.1,0,Potential Loyalists,0,2011-08-19 15:24:00,2011-12-02 10:22:00,15.448235294117646,1506,70,104
12365,291,2,641.38,1,At Risk,1,2011-02-21 13:51:00,2011-02-21 14:04:00,29.153636363636362,174,22,0
12366,634,1,500.24,1,At Risk,1,2010-03-16 10:28:00,2010-03-16 10:28:00,166.74666666666667,296,3,0
12367,4,1,168.9,0,Potential Loyalists,0,2011-12-05 16:48:00,2011-12-05 16:48:00,15.354545454545455,173,11,0
12368,628,1,917.7,1,At Risk,1,2010-03-21 15:56:00,2010-03-21 15:56:00,50.983333333333334,330,18,0
12369,413,3,1791.15,1,At Risk,1,2010-03-08 08:09:00,2010-10-22 13:13:00,19.25967741935484,1241,90,228
12370,51,7,4320.31,0,Potential Loyalists,0,2010-02-09 09:41:00,2011-10-19 14:51:00,21.387673267326736,2605,168,617
12371,45,5,4067.38,0,Potential Loyalists,0,2010-03-04 18:23:00,2011-10-26 10:16:00,24.35556886227545,1436,134,600
12372,72,3,1298.04,0,Potential Loyalists,0,2011-02-16 12:46:00,2011-09-29 12:12:00,24.962307692307693,794,34,224
12373,311,3,1127.65,1,At Risk,1,2010-02-04 12:08:00,2011-02-01 13:10:00,22.110784313725492,516,36,362
12374,25,4,2989.2200000000003,0,Potential Loyalists,0,2010-04-30 14:01:00,2011-11-14 15:37:00,36.01469879518073,1362,79,563
12375,11,2,457.5,0,Potential Loyalists,0,2011-09-02 14:23:00,2011-11-29 10:36:00,26.91176470588235,178,14,87
12376,390,2,503.15,1,At Risk,1,2010-10-18 08:42:00,2010-11-15 12:15:00,38.70384615384615,240,11,28
12377,315,4,3426.32,1,At Risk,1,2010-04-29 15:34:00,2011-01-28 15:45:00,22.54157894736842,2105,129,274
12378,130,2,5416.32,0,Potential Loyalists,0,2010-05-26 14:07:00,2011-08-02 10:34:00,17.994418604651162,3316,281,432
12379,82,4,1620.22,0,Potential Loyalists,0,2010-06-23 12:49:00,2011-09-19 10:09:00,20.002716049382716,815,58,452
12380,22,11,9676.3,3,Loyal Customers,0,2010-02-15 12:05:00,2011-11-18 11:27:00,34.93249097472925,3355,156,640
12381,5,5,1845.31,0,Potential Loyalists,0,2011-08-12 09:57:00,2011-12-05 12:44:00,21.21045977011494,808,70,115
12383,185,5,1850.56,0,Potential Loyalists,1,2010-12-22 14:28:00,2011-06-08 08:02:00,18.69252525252525,1532,84,167
12384,29,2,585.27,0,Potential Loyalists,0,2011-08-10 11:23:00,2011-11-11 08:39:00,21.676666666666666,126,26,92
12385,379,1,1938.4,1,At Risk,1,2010-11-25 15:14:00,2010-11-25 15:14:00,29.821538461538463,612,65,0
12386,338,2,660.8,1,At Risk,1,2010-12-08 09:53:00,2011-01-06 12:37:00,36.711111111111116,568,10,29
12387,415,1,143.94,1,At Risk,1,2010-10-20 16:27:00,2010-10-20 16:27:00,15.993333333333332,134,9,0
12388,16,8,3901.11,0,Potential Loyalists,0,2010-05-06 12:54:00,2011-11-24 12:30:00,26.719931506849317,2001,83,566
12389,403,3,1433.33,1,At Risk,1,2010-02-22 10:15:00,2010-11-02 11:52:00,29.251632653061222,614,41,253
12390,80,1,549.84,0,Potential Loyalists,0,2011-09-21 09:33:00,2011-09-21 09:33:00,17.1825,353,32,0
12391,22,6,2773.42,0,Potential Loyalists,0,2010-02-15 10:12:00,2011-11-18 12:07:00,9.86982206405694,1220,241,641
12392,591,1,234.75000000000003,1,At Risk,1,2010-04-27 14:04:00,2010-04-27 14:04:00,33.53571428571429,73,7,0
12393,72,6,2399.4500000000003,0,Potential Loyalists,0,2010-10-07 13:49:00,2011-09-28 15:41:00,22.424766355140186,1311,63,356
12394,64,2,1272.48,0,Potential Loyalists,0,2011-05-06 14:01:00,2011-10-07 08:08:00,47.12888888888889,819,26,153
12395,19,15,5067.27,3,Loyal Customers,0,2010-04-16 10:16:00,2011-11-20 15:21:00,19.94988188976378,3733,145,583
12396,674,1,931.43,1,At Risk,1,2010-02-03 13:22:00,2010-02-03 13:22:00,14.329692307692309,591,65,0
12397,36,2,2409.9,0,Potential Loyalists,0,2011-07-27 14:21:00,2011-11-04 09:52:00,19.126190476190477,1263,110,99
12398,46,1,1635.66,0,Potential Loyalists,0,2011-10-25 10:27:00,2011-10-25 10:27:00,19.24305882352941,1394,85,0
