CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,12,29730.420199999626,2,Champions
12347,2,8,5633.32,3,Loyal Customers
12348,75,5,2019.4,0,Potential Loyalists
12349,19,4,4428.69,0,Potential Loyalists
12350,310,1,334.4,1,At Risk
12351,375,1,300.93,1,At Risk
12352,36,10,2849.84,0,Potential Loyalists
12353,204,2,406.76,0,Potential Loyalists
12354,232,1,1079.4,0,Potential Loyalists
12355,214,2,947.61,0,Potential Loyalists
12356,23,6,6373.68,3,Loyal Customers
12357,33,3,18287.66,3,Loyal Customers
12358,2,5,3887.07,0,Potential Loyalists
12359,58,10,8935.94,3,Loyal Customers
12360,52,8,4252.89,0,Potential Loyalists
12361,287,4,511.25,1,At Risk
12362,3,11,5356.23,3,Loyal Customers
12363,110,2,552.0,0,Potential Loyalists
12364,8,4,1313.1,0,Potential Loyalists
12365,291,2,641.38,1,At Risk
12366,634,1,500.24,1,At Risk
12367,4,1,168.9,0,Potential Loyalists
12368,628,1,917.6999999999999,1,At Risk
12369,413,3,1791.15,1,At Risk
12370,51,7,4320.31,0,Potential Loyalists
12371,45,5,4067.38,0,Potential Loyalists
12372,72,3,1298.04,0,Potential Loyalists
12373,311,3,1127.65,1,At Risk
12374,25,4,2989.2200000000003,0,Potential Loyalists
12375,11,2,457.5,0,Potential Loyalists
12376,390,2,503.15,1,At Risk
12377,315,4,3426.32,1,At Risk
12378,130,2,5416.32,0,Potential Loyalists
12379,82,4,1620.22,0,Potential Loyalists
12380,22,11,9676.300000000001,3,Loyal Customers
12381,5,5,1845.31,0,Potential Loyalists
12383,185,5,1850.56,0,Potential Loyalists
12384,29,2,585.27,0,Potential Loyalists
12385,379,1,1938.4,1,At Risk
12386,338,2,660.8,1,At Risk
12387,415,1,143.94,1,At Risk
12388,16,8,3901.11,0,Potential Loyalists
12389,403,3,1433.33,1,At Risk
12390,80,1,549.84,0,Potential Loyalists
12391,22,6,2773.42,0,Potential Loyalists
12392,591,1,234.75000000000003,1,At Risk
12393,72,6,2399.4500000000003,0,Potential Loyalists
12394,64,2,1272.48,0,Potential Loyalists
12395,19,15,5067.27,3,Loyal Customers
12396,674,1,931.43,1,At Risk
12397,36,2,2409.9,0,Potential Loyalists
12398,46,1,1635.6599999999999,0,Potential Loyalists
12399,119,7,1962.3,0,Potential Loyalists
12400,414,1,205.25,1,At Risk
12401,303,1,84.3,1,At Risk
12402,323,6,1256.9,1,At Risk
12403,50,2,1019.36,0,Potential Loyalists
12404,682,1,63.24,1,At Risk
12405,149,1,1710.39,0,Potential Loyalists
12406,22,5,6390.36,0,Potential Loyalists
12407,50,5,1708.1200000000001,0,Potential Loyalists
12408,33,8,4340.7699999999995,0,Potential Loyalists
12409,79,7,23419.29,2,Champions
12410,309,3,1013.71,1,At Risk
12411,410,1,346.9,1,At Risk
12412,75,6,2596.93,0,Potential Loyalists
12413,67,4,999.45,0,Potential Loyalists
12414,217,6,952.41,0,Potential Loyalists
12415,24,28,29730.420199999626,2,Champions
12416,657,1,202.56,1,At Risk
12417,3,20,6816.91,3,Loyal Customers
12418,113,4,2021.2,0,Potential Loyalists
12419,386,2,503.01,1,At Risk
12420,64,1,600.39,0,Potential Loyalists
12421,16,6,1098.6,0,Potential Loyalists
12422,96,17,5231.8,3,Loyal Customers
12423,1,10,2622.39,0,Potential Loyalists
12424,163,4,3340.03,0,Potential Loyalists
12425,78,2,1741.41,0,Potential Loyalists
12426,195,2,1345.21,0,Potential Loyalists
12427,22,3,1129.3,0,Potential Loyalists
12428,26,9,7956.46,3,Loyal Customers
12429,9,8,7485.91,3,Loyal Customers
12430,43,1,256.4,0,Potential Loyalists
12431,36,27,10857.97,3,Loyal Customers
12432,43,5,5059.32,0,Potential Loyalists
12433,1,10,20581.26,2,Champions
12434,85,3,1103.43,0,Potential Loyalists
12435,80,6,13925.93,3,Loyal Customers
12436,100,1,509.01,0,Potential Loyalists
12437,2,39,12683.4,2,Champions
12438,14,2,2906.85,0,Potential Loyalists
12439,683,2,1158.18,1,At Risk
12440,462,2,859.2,1,At Risk
12441,367,1,347.1,1,At Risk
12442,3,1,172.06,0,Potential Loyalists
12443,732,1,485.31,1,At Risk
12444,21,5,5005.46,0,Potential Loyalists
12445,22,2,434.98,0,Potential Loyalists
12446,58,1,1002.3100000000001,0,Potential Loyalists
12447,243,1,476.49,0,Potential Loyalists
12448,44,1,449.45,0,Potential Loyalists
12449,22,6,4835.89,0,Potential Loyalists
12450,156,5,688.2,0,Potential Loyalists
12451,11,8,12669.88,3,Loyal Customers
